ID	gene	Organism	Genus	Genus__colour	Source	Source__colour	Accesion/Region	Position	start	end	Strand	Class1	Class1__colour	Class2	Class2__colour	Class3	Class3__colour	Product	Similarity	completeness	distance	TCS	TCS_gene	Pfam
BGC0000014_ABK32251.1	Amb3	Sorangium cellulosum	Sorangium	#66CCFF	MIBiG	#0676BE	BGC0000014	6678..7457	6678	7457	+	Polyketide	#F4A460					ambruticin	100			tcs	BGC0000014_ABK32252.1	PF00158.29 PF02954.22
BGC0000014_ABK32253.1	Amb5	Sorangium cellulosum	Sorangium	#66CCFF	MIBiG	#0676BE	BGC0000014	9649..11175	9649	11175	-	Polyketide	#F4A460					ambruticin	100			orphan	
BGC0000014_ABK32275.1	Amb7	Sorangium cellulosum	Sorangium	#66CCFF	MIBiG	#0676BE	BGC0000014	84168..90431	84168	90431	-	Polyketide	#F4A460					ambruticin	100			orphan	
BGC0000014_ABK32279.1	hypothetical_protein	Sorangium cellulosum	Sorangium	#66CCFF	MIBiG	#0676BE	BGC0000014	97015..99912	97015	99912	-	Polyketide	#F4A460					ambruticin	100			orphan	
BGC0000023_CAO98841.1	hypothetical_protein	Stigmatella aurantiaca DW4/3-1	Stigmatella	#003300	MIBiG	#0676BE	BGC0000023	1..1350	1	1350	+	Polyketide	#F4A460					aurafuron A	100			orphan	
BGC0000035_AAS79470.1	sensory_histidine_kinase	Streptomyces bikiniensis	Streptomyces	#3333FF	MIBiG	#0676BE	BGC0000035	71382..72542	71382	72542	-	Polyketide	#F4A460					chalcomycin A	100			tcs	BGC0000035_AAS79471.1	PF00486.31
BGC0000038_CAB60187.1	CpkM;_Two-component_system_histidine_kinase	Streptomyces coelicolor A3(2)	Streptomyces	#3333FF	MIBiG	#0676BE	BGC0000038	2731..3495	2731	3495	-	Polyketide	#F4A460					coelimycin P1	100			orphan	
BGC0000043_ACV42481.1	putative_adenylate/guanylate_cyclase	Moorea producens 19L	Moorea	#6699FF	MIBiG	#0676BE	BGC0000043	9627..13097	9627	13097	-	Polyketide	#F4A460					curacin A	100			orphan	
BGC0000053_ctg1_orf17	ctg1_orf17	Unknown. Unclassified.	Unknown	#FFFFFF	MIBiG	#0676BE	BGC0000053	54307..55569	54307	55569	+	Polyketide	#F4A460					elaiophylin	100			tcs	BGC0000053_ctg1_orf18	PF00196.22
BGC0000080_ABK32283.1	Jer3	Sorangium cellulosum	Sorangium	#66CCFF	MIBiG	#0676BE	BGC0000080	7183..8643	7183	8643	+	Polyketide	#F4A460					jerangolid A/jerangolid D	100			tcs	BGC0000080_ABK32284.1	PF00158.29 PF02954.22
BGC0000080_ABK32285.1	Jer5	Sorangium cellulosum	Sorangium	#66CCFF	MIBiG	#0676BE	BGC0000080	10826..12352	10826	12352	-	Polyketide	#F4A460					jerangolid A/jerangolid D	100			orphan	
BGC0000080_ABK32300.1	Jer7	Sorangium cellulosum	Sorangium	#66CCFF	MIBiG	#0676BE	BGC0000080	62034..67323	62034	67323	-	Polyketide	#F4A460					jerangolid A/jerangolid D	100			orphan	
BGC0000084_AFL48547.1	putative_histidine_kinase_sensor	Streptomyces sp. CS684	Streptomyces	#3333FF	MIBiG	#0676BE	BGC0000084	3136..5487	3136	5487	-	Polyketide	#F4A460					laidlomycin	100			orphan	
BGC0000133_AFI57016.1	QmnRg2	Amycolatopsis orientalis	Amycolatopsis	#CC0000	MIBiG	#0676BE	BGC0000133	64133..65482	64133	65482	-	Polyketide	#F4A460					quartromicin A1	100			tcs	BGC0000133_AFI57015.1	PF00486.31
BGC0000142_ABP55199.1	histidine_kinase,_dimerisation_and_phosphoacceptor_region	Salinispora tropica CNB-440	Salinispora	#FF9966	MIBiG	#0676BE	BGC0000142	1..1302	1	1302	+	Polyketide	#F4A460					salinilactam	100			tcs	BGC0000142_ABP55200.1	PF00196.22
BGC0000151_CAJ88179.1	putative_two-component_system_sensor_kinase	Streptomyces ambofaciens ATCC 23877	Streptomyces	#3333FF	MIBiG	#0676BE	BGC0000151	53694..55022	53694	55022	-	Polyketide	#F4A460	Saccharide	#FF7D25			stambomycin A/stambomycin B/stambomycin C/stambomycin D	100			tcs	BGC0000151_CAJ88178.1	PF00196.22
BGC0000171_CCC21117.1	signal_transduction_histidine_kinase	Streptomyces himastatinicus ATCC 53653	Streptomyces	#3333FF	MIBiG	#0676BE	BGC0000171	6799..8133	6799	8133	-	Polyketide	#F4A460					9-methylstreptimidone	100			tcs	BGC0000171_CCC21118.1	PF00486.31
